UniProtKB,Symbol,Virus_mimicry,GTEx_medium_TPM_in_lung,Distinct_SLiMs,Biological_process,Molecular_function
P14866,HNRNPL,Nucleocapsid,208.77,1,"mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]",mRNA binding [GO:0003729]; pre-mRNA intronic binding [GO:0097157]; RNA binding [GO:0003723]; transcription cis-regulatory region binding [GO:0000976]
Q9H074,PAIP1,Nucleocapsid,34.2,1,mRNA stabilization [GO:0048255]; regulation of translational initiation [GO:0006446]; translational initiation [GO:0006413],RNA binding [GO:0003723]; translation activator activity [GO:0008494]
O94992,HEXIM1,Nucleocapsid,41.16,1,"activation of innate immune response [GO:0002218]; heart development [GO:0007507]; innate immune response [GO:0045087]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription elongation from RNA polymerase II promoter [GO:0034244]; negative regulation of viral transcription [GO:0032897]; positive regulation of signal transduction by p53 class mediator [GO:1901798]",7SK snRNA binding [GO:0097322]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; identical protein binding [GO:0042802]; protein kinase inhibitor activity [GO:0004860]; P-TEFb complex binding [GO:0106140]; snRNA binding [GO:0017069]
Q7Z7F0,KHDC4,Nucleocapsid,49.15,1,mRNA splice site selection [GO:0006376],RNA binding [GO:0003723]
Q86U44,METTL3,Nucleocapsid,54.47,1,"adenosine to inosine editing [GO:0006382]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to UV [GO:0034644]; circadian rhythm [GO:0007623]; dosage compensation by inactivation of X chromosome [GO:0009048]; endothelial to hematopoietic transition [GO:0098508]; forebrain radial glial cell differentiation [GO:0021861]; gliogenesis [GO:0042063]; innate immune response [GO:0045087]; mRNA catabolic process [GO:0006402]; mRNA destabilization [GO:0061157]; mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of type I interferon-mediated signaling pathway [GO:0060339]; oogenesis [GO:0048477]; positive regulation of cap-independent translational initiation [GO:1903679]; positive regulation of translation [GO:0045727]; primary miRNA methylation [GO:1990744]; primary miRNA processing [GO:0031053]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of meiotic cell cycle [GO:0051445]; regulation of T cell differentiation [GO:0045580]; RNA methylation [GO:0001510]; spermatogenesis [GO:0007283]; stem cell population maintenance [GO:0019827]",methyltransferase activity [GO:0008168]; mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity [GO:0016422]; mRNA (N6-adenosine)-methyltransferase activity [GO:0001734]; mRNA binding [GO:0003729]; protein heterodimerization activity [GO:0046982]; RNA methyltransferase activity [GO:0008173]; S-adenosyl-L-methionine binding [GO:1904047]
Q9H089,LSG1,Nucleocapsid,28.11,1,nuclear export [GO:0051168]; protein transport [GO:0015031]; ribosomal subunit export from nucleus [GO:0000054],GTPase activity [GO:0003924]; GTP binding [GO:0005525]
O14786,NRP1,Nucleocapsid,41.47,1,"actin cytoskeleton reorganization [GO:0031532]; angiogenesis [GO:0001525]; angiogenesis involved in coronary vascular morphogenesis [GO:0060978]; animal organ morphogenesis [GO:0009887]; artery morphogenesis [GO:0048844]; axonal fasciculation [GO:0007413]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; axonogenesis involved in innervation [GO:0060385]; basal dendrite arborization [GO:0150020]; basal dendrite development [GO:0150018]; branching involved in blood vessel morphogenesis [GO:0001569]; branchiomotor neuron axon guidance [GO:0021785]; cell-cell signaling [GO:0007267]; cell migration involved in sprouting angiogenesis [GO:0002042]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; commissural neuron axon guidance [GO:0071679]; coronary artery morphogenesis [GO:0060982]; dichotomous subdivision of terminal units involved in salivary gland branching [GO:0060666]; dorsal root ganglion morphogenesis [GO:1904835]; endothelial cell chemotaxis [GO:0035767]; endothelial cell migration [GO:0043542]; endothelial tip cell fate specification [GO:0097102]; facial nerve structural organization [GO:0021612]; facioacoustic ganglion development [GO:1903375]; gonadotrophin-releasing hormone neuronal migration to the hypothalamus [GO:0021828]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; integrin-mediated signaling pathway [GO:0007229]; motor neuron migration [GO:0097475]; negative regulation of axon extension involved in axon guidance [GO:0048843]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of neuron apoptotic process [GO:0043524]; nerve development [GO:0021675]; neural crest cell migration involved in autonomic nervous system development [GO:1901166]; neuron migration [GO:0001764]; neuropilin signaling pathway [GO:0038189]; otic placode development [GO:1905040]; outflow tract septum morphogenesis [GO:0003148]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive chemotaxis [GO:0050918]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of angiogenesis [GO:0045766]; positive regulation of axon extension involved in axon guidance [GO:0048842]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cytokine activity [GO:0060301]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphorylation [GO:0042327]; positive regulation of retinal ganglion cell axon guidance [GO:1902336]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; postsynapse organization [GO:0099173]; protein localization to early endosome [GO:1902946]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of retinal ganglion cell axon guidance [GO:0090259]; regulation of vesicle-mediated transport [GO:0060627]; renal artery morphogenesis [GO:0061441]; response to wounding [GO:0009611]; retinal ganglion cell axon guidance [GO:0031290]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; semaphorin-plexin signaling pathway [GO:0071526]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; semaphorin-plexin signaling pathway involved in neuron projection guidance [GO:1902285]; sensory neuron axon guidance [GO:0097374]; signal transduction [GO:0007165]; sprouting angiogenesis [GO:0002040]; substrate adhesion-dependent cell spreading [GO:0034446]; substrate-dependent cell migration, cell extension [GO:0006930]; sympathetic ganglion development [GO:0061549]; sympathetic neuron projection extension [GO:0097490]; sympathetic neuron projection guidance [GO:0097491]; toxin transport [GO:1901998]; trigeminal ganglion development [GO:0061551]; trigeminal nerve structural organization [GO:0021637]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; VEGF-activated neuropilin signaling pathway [GO:0038190]; VEGF-activated neuropilin signaling pathway involved in axon guidance [GO:1902378]; ventral trunk neural crest cell migration [GO:0036486]; vestibulocochlear nerve structural organization [GO:0021649]; viral entry into host cell [GO:0046718]",coreceptor activity [GO:0015026]; cytokine binding [GO:0019955]; growth factor binding [GO:0019838]; GTPase activator activity [GO:0005096]; heparin binding [GO:0008201]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; semaphorin receptor activity [GO:0017154]; vascular endothelial growth factor-activated receptor activity [GO:0005021]; vascular endothelial growth factor binding [GO:0038085]
O95747,OXSR1,Nucleocapsid,28.92,1,cellular hypotonic response [GO:0071476]; cellular response to chemokine [GO:1990869]; chemokine (C-C motif) ligand 21 signaling pathway [GO:0038116]; chemokine (C-X-C motif) ligand 12 signaling pathway [GO:0038146]; intracellular signal transduction [GO:0035556]; negative regulation of potassium ion transmembrane transporter activity [GO:1901017]; osmosensory signaling pathway [GO:0007231]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of T cell chemotaxis [GO:0010820]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; response to oxidative stress [GO:0006979]; signal transduction [GO:0007165],ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]
P20936,RASA1,Nucleocapsid,23.12,1,blood vessel morphogenesis [GO:0048514]; ephrin receptor signaling pathway [GO:0048013]; intracellular signal transduction [GO:0035556]; mitotic cytokinesis [GO:0000281]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of Ras protein signal transduction [GO:0046580]; positive regulation of GTPase activity [GO:0043547]; regulation of actin filament polymerization [GO:0030833]; regulation of cell shape [GO:0008360]; regulation of RNA metabolic process [GO:0051252]; signal transduction [GO:0007165]; vasculogenesis [GO:0001570],GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTPase binding [GO:0051020]; phosphotyrosine residue binding [GO:0001784]; potassium channel inhibitor activity [GO:0019870]; signaling receptor binding [GO:0005102]
Q01970,PLCB3,Nucleocapsid,32.81,1,G protein-coupled receptor signaling pathway [GO:0007186]; lipid catabolic process [GO:0016042]; phosphatidylinositol-mediated signaling [GO:0048015]; phosphatidylinositol metabolic process [GO:0046488]; regulation of systemic arterial blood pressure [GO:0003073],cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; phosphatidylinositol phospholipase C activity [GO:0004435]; phospholipase C activity [GO:0004629]
Q92769,HDAC2,Nucleocapsid,14.55,1,"ATP-dependent chromatin remodeling [GO:0043044]; behavioral response to ethanol [GO:0048149]; cardiac muscle hypertrophy [GO:0003300]; cellular response to dopamine [GO:1903351]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to retinoic acid [GO:0071300]; cellular response to transforming growth factor beta stimulus [GO:0071560]; chromatin remodeling [GO:0006338]; circadian regulation of gene expression [GO:0032922]; dendrite development [GO:0016358]; embryonic digit morphogenesis [GO:0042733]; epidermal cell differentiation [GO:0009913]; eyelid development in camera-type eye [GO:0061029]; fungiform papilla formation [GO:0061198]; hair follicle placode formation [GO:0060789]; heterochromatin maintenance [GO:0070829]; histone deacetylation [GO:0016575]; histone H3 deacetylation [GO:0070932]; histone H4 deacetylation [GO:0070933]; negative regulation of apoptotic process [GO:0043066]; negative regulation of dendritic spine development [GO:0061000]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of MHC class II biosynthetic process [GO:0045347]; negative regulation of neuron projection development [GO:0010977]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of male mating behavior [GO:1902437]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of proteolysis [GO:0045862]; positive regulation of signaling receptor activity [GO:2000273]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to amphetamine [GO:0001975]; response to caffeine [GO:0031000]; response to cocaine [GO:0042220]; response to drug [GO:0042493]; response to hyperoxia [GO:0055093]; response to lipopolysaccharide [GO:0032496]; response to nicotine [GO:0035094]",chromatin binding [GO:0003682]; deacetylase activity [GO:0019213]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; histone deacetylase activity [GO:0004407]; histone deacetylase binding [GO:0042826]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]; NF-kappaB binding [GO:0051059]; promoter-specific chromatin binding [GO:1990841]; protein deacetylase activity [GO:0033558]; RNA binding [GO:0003723]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
Q9UM54,MYO6,Nucleocapsid,31.39,1,"actin filament-based movement [GO:0030048]; actin filament organization [GO:0007015]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; endocytosis [GO:0006897]; inner ear auditory receptor cell differentiation [GO:0042491]; inner ear morphogenesis [GO:0042472]; intracellular protein transport [GO:0006886]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of secretion [GO:0051046]; response to drug [GO:0042493]; sensory perception of sound [GO:0007605]; vesicle transport along actin filament [GO:0030050]",actin binding [GO:0003779]; actin filament binding [GO:0051015]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; microfilament motor activity [GO:0000146]; minus-end directed microfilament motor activity [GO:0060001]; motor activity [GO:0003774]
Q9Y6Y0,IVNS1ABP,Nucleocapsid,73.28,1,negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of protein ubiquitination [GO:0031397]; response to virus [GO:0009615]; RNA splicing [GO:0008380]; transcription by RNA polymerase III [GO:0006383],N/A
P48729,CSNK1A1,Nucleocapsid,79.13,1,cell cycle [GO:0007049]; cell division [GO:0051301]; cell surface receptor signaling pathway [GO:0007166]; Golgi organization [GO:0007030]; intermediate filament cytoskeleton organization [GO:0045104]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein phosphorylation [GO:0006468]; regulation of GTP binding [GO:1904424]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055],ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]
Q71RC2,LARP4,Nucleocapsid,18.05,1,cytoskeleton organization [GO:0007010]; positive regulation of translation [GO:0045727]; posttranscriptional regulation of gene expression [GO:0010608]; regulation of cell morphogenesis [GO:0022604]; translation [GO:0006412],mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; RNA binding [GO:0003723]
Q86TP1,PRUNE1,Nucleocapsid,17.88,1,polyphosphate catabolic process [GO:0006798]; regulation of microtubule polymerization [GO:0031113]; regulation of neurogenesis [GO:0050767],exopolyphosphatase activity [GO:0004309]; inorganic diphosphatase activity [GO:0004427]; metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; tubulin binding [GO:0015631]
Q9HCE1,MOV10,Nucleocapsid,39.03,1,"3'-UTR-mediated mRNA destabilization [GO:0061158]; defense response to virus [GO:0051607]; gene silencing by miRNA [GO:0035195]; mRNA cleavage involved in gene silencing by miRNA [GO:0035279]; negative regulation of transposition, RNA-mediated [GO:0010526]; positive regulation of mRNA catabolic process [GO:0061014]; post-transcriptional gene silencing by RNA [GO:0035194]; regulation of neuron projection arborization [GO:0150011]",5'-3' RNA helicase activity [GO:0032574]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; RNA binding [GO:0003723]
O60216,RAD21,Nucleocapsid,77.51,1,apoptotic process [GO:0006915]; cell division [GO:0051301]; DNA recombination [GO:0006310]; double-strand break repair [GO:0006302]; mitotic sister chromatid cohesion [GO:0007064]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of mitotic metaphase/anaphase transition [GO:0045841]; positive regulation of sister chromatid cohesion [GO:0045876]; protein localization to chromatin [GO:0071168]; reciprocal meiotic recombination [GO:0007131]; regulation of transcription by RNA polymerase II [GO:0006357]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; synaptonemal complex assembly [GO:0007130],chromatin binding [GO:0003682]
P46778,RPL21,Nucleocapsid,854.57,1,cytoplasmic translation [GO:0002181]; translation [GO:0006412],RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q92900,UPF1,Nucleocapsid,54.2,1,"3'-UTR-mediated mRNA destabilization [GO:0061158]; cell cycle phase transition [GO:0044770]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; dosage compensation by inactivation of X chromosome [GO:0009048]; histone mRNA catabolic process [GO:0071044]; mRNA export from nucleus [GO:0006406]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of mRNA catabolic process [GO:0061014]; regulation of telomere maintenance [GO:0032204]; regulation of translational termination [GO:0006449]; telomere maintenance via semi-conservative replication [GO:0032201]",ATP binding [GO:0005524]; chromatin binding [GO:0003682]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; telomeric DNA binding [GO:0042162]; zinc ion binding [GO:0008270]
P51148,RAB5C,Nucleocapsid,163.66,1,endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; plasma membrane to endosome transport [GO:0048227]; regulation of endocytosis [GO:0030100],GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]
Q92785,DPF2,Nucleocapsid,41.45,1,"apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; chromatin organization [GO:0006325]; negative regulation of myeloid progenitor cell differentiation [GO:1905454]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; positive regulation of transcription by RNA polymerase II [GO:0045944]",H3K9me3 modified histone binding [GO:0062072]; histone binding [GO:0042393]; lysine-acetylated histone binding [GO:0070577]; metal ion binding [GO:0046872]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]
Q15366,PCBP2,Nucleocapsid,217.26,1,defense response to virus [GO:0051607]; innate immune response [GO:0045087]; IRES-dependent viral translational initiation [GO:0075522]; mRNA metabolic process [GO:0016071]; negative regulation of defense response to virus [GO:0050687]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of gene expression [GO:0010468]; regulation of RNA metabolic process [GO:0051252]; viral RNA genome replication [GO:0039694],enzyme binding [GO:0019899]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; ubiquitin protein ligase binding [GO:0031625]
O95793,STAU1,Nucleocapsid,71.48,1,cellular response to oxidative stress [GO:0034599]; modification of postsynaptic structure [GO:0099010]; positive regulation by virus of viral protein levels in host cell [GO:0046726]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of viral genome replication [GO:0045070],double-stranded RNA binding [GO:0003725]; protein phosphatase 1 binding [GO:0008157]; RNA binding [GO:0003723]
P30793,GCH1,Nucleocapsid,24.27,1,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; dopamine biosynthetic process [GO:0042416]; negative regulation of blood pressure [GO:0045776]; neuromuscular process controlling posture [GO:0050884]; nitric oxide biosynthetic process [GO:0006809]; positive regulation of heart rate [GO:0010460]; positive regulation of nitric-oxide synthase activity [GO:0051000]; protein-containing complex assembly [GO:0065003]; pteridine-containing compound biosynthetic process [GO:0042559]; regulation of blood pressure [GO:0008217]; regulation of lung blood pressure [GO:0014916]; regulation of removal of superoxide radicals [GO:2000121]; response to interferon-gamma [GO:0034341]; response to lipopolysaccharide [GO:0032496]; response to pain [GO:0048265]; response to tumor necrosis factor [GO:0034612]; tetrahydrobiopterin biosynthetic process [GO:0006729]; tetrahydrofolate biosynthetic process [GO:0046654]; vasodilation [GO:0042311]",calcium ion binding [GO:0005509]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP cyclohydrolase I activity [GO:0003934]; GTP-dependent protein binding [GO:0030742]; identical protein binding [GO:0042802]; mitogen-activated protein kinase binding [GO:0051019]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; translation initiation factor binding [GO:0031369]; zinc ion binding [GO:0008270]
P04792,HSPB1,Nucleocapsid,554.88,1,anterograde axonal protein transport [GO:0099641]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; chaperone-mediated protein folding [GO:0061077]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein kinase activity [GO:0006469]; platelet aggregation [GO:0070527]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of tumor necrosis factor production [GO:0032760]; regulation of autophagy [GO:0010506]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of protein phosphorylation [GO:0001932]; regulation of translational initiation [GO:0006446]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; retina homeostasis [GO:0001895],identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; protein kinase C inhibitor activity [GO:0008426]; RNA binding [GO:0003723]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; ubiquitin binding [GO:0043130]
O15297,PPM1D,Nucleocapsid,10.82,1,"cellular response to starvation [GO:0009267]; chromatin silencing [GO:0006342]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; DNA methylation [GO:0006306]; G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression, epigenetic [GO:0045814]; peptidyl-threonine dephosphorylation [GO:0035970]; protein dephosphorylation [GO:0006470]; regulation of transcription initiation from RNA polymerase II promoter [GO:0060260]; response to bacterium [GO:0009617]; response to radiation [GO:0009314]",metal ion binding [GO:0046872]; mitogen-activated protein kinase binding [GO:0051019]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine phosphatase activity [GO:0004722]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]
Q07020,RPL18,Nucleocapsid,603.58,1,cytoplasmic translation [GO:0002181]; translation [GO:0006412],RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q15797,SMAD1,Nucleocapsid,7.37,1,anatomical structure morphogenesis [GO:0009653]; BMP signaling pathway [GO:0030509]; bone development [GO:0060348]; cardiac conduction system development [GO:0003161]; cardiac muscle cell proliferation [GO:0060038]; cartilage development [GO:0051216]; cell differentiation [GO:0030154]; cellular response to organic cyclic compound [GO:0071407]; embryonic pattern specification [GO:0009880]; gamete generation [GO:0007276]; hindbrain development [GO:0030902]; homeostatic process [GO:0042592]; inflammatory response [GO:0006954]; MAPK cascade [GO:0000165]; mesodermal cell fate commitment [GO:0001710]; midbrain development [GO:0030901]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of muscle cell differentiation [GO:0051148]; osteoblast fate commitment [GO:0002051]; positive regulation of cartilage development [GO:0061036]; positive regulation of gene expression [GO:0010628]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus [GO:1901522]; primary miRNA processing [GO:0031053]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]; SMAD protein complex assembly [GO:0007183]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657],"co-SMAD binding [GO:0070410]; DEAD/H-box RNA helicase binding [GO:0017151]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; I-SMAD binding [GO:0070411]; metal ion binding [GO:0046872]; primary miRNA binding [GO:0070878]; protein kinase binding [GO:0019901]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
Q7KZF4,SND1,Nucleocapsid,72.61,1,gene silencing by RNA [GO:0031047]; miRNA catabolic process [GO:0010587]; osteoblast differentiation [GO:0001649]; regulation of cell cycle process [GO:0010564]; RNA catabolic process [GO:0006401],cadherin binding [GO:0045296]; endonuclease activity [GO:0004519]; endoribonuclease activity [GO:0004521]; nuclease activity [GO:0004518]; RISC complex binding [GO:1905172]; RNA binding [GO:0003723]; transcription coregulator activity [GO:0003712]
Q08J23,NSUN2,Nucleocapsid,43.87,1,cell division [GO:0051301]; hair follicle maturation [GO:0048820]; in utero embryonic development [GO:0001701]; meiotic cell cycle checkpoint signaling [GO:0033313]; mRNA methylation [GO:0080009]; regulation of mRNA export from nucleus [GO:0010793]; regulation of stem cell differentiation [GO:2000736]; RNA methylation [GO:0001510]; spermatid development [GO:0007286]; tRNA methylation [GO:0030488]; tRNA modification [GO:0006400]; tRNA stabilization [GO:0036416],methyltransferase activity [GO:0008168]; mRNA (cytidine-5-)-methyltransferase activity [GO:0062152]; RNA binding [GO:0003723]; tRNA (cytosine-5-)-methyltransferase activity [GO:0016428]; tRNA binding [GO:0000049]
Q15004,PCLAF,Nucleocapsid,0.67,1,cellular response to DNA damage stimulus [GO:0006974]; centrosome cycle [GO:0007098]; DNA replication [GO:0006260]; regulation of cell cycle [GO:0051726]; response to UV [GO:0009411]; translesion synthesis [GO:0019985],chromatin binding [GO:0003682]
Q9NPJ4,PNRC2,Nucleocapsid,105.12,1,"deadenylation-independent decapping of nuclear-transcribed mRNA [GO:0031087]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]",N/A
P18754,RCC1,Nucleocapsid,17.15,1,cell division [GO:0051301]; chromosome segregation [GO:0007059]; G1/S transition of mitotic cell cycle [GO:0000082]; mitotic nuclear membrane reassembly [GO:0007084]; mitotic spindle organization [GO:0007052]; regulation of mitotic nuclear division [GO:0007088]; spindle assembly [GO:0051225]; viral process [GO:0016032],chromatin binding [GO:0003682]; guanyl-nucleotide exchange factor activity [GO:0005085]; histone binding [GO:0042393]; nucleosomal DNA binding [GO:0031492]; nucleosome binding [GO:0031491]; protein heterodimerization activity [GO:0046982]; small GTPase binding [GO:0031267]; sulfate binding [GO:0043199]
Q8TC59,PIWIL2,Nucleocapsid,0.63,1,DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ-line stem cell population maintenance [GO:0030718]; meiotic cell cycle [GO:0051321]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of transposition [GO:0010529]; oogenesis [GO:0048477]; piRNA biosynthetic process [GO:1990511]; piRNA metabolic process [GO:0034587]; positive regulation of histone H3-K14 acetylation [GO:0071442]; positive regulation of histone H3-K9 acetylation [GO:2000617]; positive regulation of meiosis I [GO:0060903]; positive regulation of translation [GO:0045727]; rhythmic process [GO:0048511]; RNA 5'-end processing [GO:0000966]; spermatogenesis [GO:0007283],endoribonuclease activity [GO:0004521]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; piRNA binding [GO:0034584]; polysome binding [GO:1905538]
